iter	Passed	Remaining
443	1198	1500
444	1200	1497
445	1203	1494
446	1205	1491
447	1208	1488
448	1210	1485
449	1212	1481
450	1214	1478
451	1217	1475
452	1219	1473
453	1222	1469
454	1224	1466
455	1226	1463
456	1229	1460
457	1231	1457
458	1233	1453
459	1235	1450
460	1237	1447
461	1240	1444
462	1242	1441
463	1244	1437
464	1247	1434
465	1249	1431
466	1251	1428
467	1253	1425
468	1255	1421
469	1257	1418
470	1260	1415
471	1262	1412
472	1264	1409
473	1266	1405
474	1269	1402
475	1271	1399
476	1273	1396
477	1275	1393
478	1278	1390
479	1280	1386
480	1282	1383
481	1284	1380
482	1286	1377
483	1289	1374
484	1291	1371
485	1293	1368
486	1295	1365
487	1298	1361
488	1300	1358
489	1302	1355
490	1304	1352
491	1307	1349
492	1309	1346
493	1311	1343
494	1313	1340
495	1316	1337
496	1318	1334
497	1320	1331
498	1323	1328
499	1325	1325
500	1327	1322
501	1329	1318
502	1332	1316
503	1334	1313
504	1337	1310
505	1339	1308
506	1342	1305
507	1344	1302
508	1347	1299
509	1349	1296
510	1351	1293
511	1354	1290
512	1356	1287
513	1359	1285
514	1361	1282
515	1363	1278
516	1365	1275
517	1368	1273
518	1370	1270
519	1373	1267
520	1375	1264
521	1377	1261
522	1379	1258
523	1382	1255
524	1384	1252
525	1386	1249
526	1388	1246
527	1391	1243
528	1393	1240
529	1395	1237
530	1397	1234
531	1400	1231
532	1402	1228
533	1404	1225
534	1407	1223
535	1409	1219
536	1411	1217
537	1414	1214
538	1416	1211
539	1418	1208
540	1420	1205
541	1423	1202
542	1425	1199
543	1428	1197
544	1430	1194
545	1432	1191
546	1434	1188
547	1436	1185
548	1439	1182
549	1441	1179
550	1444	1176
551	1446	1173
552	1448	1171
553	1450	1168
554	1453	1165
555	1455	1162
556	1458	1159
557	1460	1156
558	1462	1153
559	1464	1150
560	1466	1147
561	1469	1144
562	1471	1142
563	1473	1139
564	1476	1136
565	1478	1133
566	1480	1130
567	1482	1127
568	1484	1124
569	1486	1121
570	1489	1118
571	1491	1115
572	1493	1113
573	1495	1110
574	1497	1107
575	1500	1104
576	1503	1102
577	1505	1099
578	1508	1096
579	1510	1093
580	1513	1091
581	1515	1088
582	1518	1085
583	1520	1083
584	1522	1080
585	1524	1077
586	1527	1074
587	1529	1071
588	1532	1069
589	1534	1066
590	1536	1063
591	1538	1060
592	1540	1057
593	1543	1054
594	1545	1051
595	1547	1049
596	1549	1046
597	1551	1043
598	1554	1040
599	1556	1037
600	1558	1034
601	1560	1031
602	1563	1029
603	1565	1026
604	1568	1023
605	1570	1021
606	1572	1018
607	1574	1015
608	1576	1012
609	1579	1009
610	1581	1006
611	1583	1003
612	1585	1000
613	1587	998
614	1589	995
615	1591	992
616	1594	989
617	1596	986
618	1599	984
619	1601	981
620	1604	979
621	1606	976
622	1609	973
623	1611	971
624	1613	968
625	1616	965
626	1618	962
627	1621	960
628	1623	957
629	1625	954
630	1627	952
631	1630	949
632	1632	946
633	1635	943
634	1637	941
635	1639	938
636	1641	935
637	1644	932
638	1646	930
639	1649	927
640	1651	924
641	1653	922
642	1656	919
