iter	Logloss
0	0.6890524613
1	0.684441716
2	0.6800216311
3	0.6751515632
4	0.671107032
5	0.6667325663
6	0.6627885541
7	0.6590308293
8	0.6553673491
9	0.6513914653
10	0.6489024447
11	0.6452772864
12	0.6415116496
13	0.638008984
14	0.6341382815
15	0.6309584151
16	0.6279207174
17	0.624871638
18	0.6215740389
19	0.618685315
20	0.6156242802
21	0.6129078248
22	0.6097882909
23	0.6071591196
24	0.603862073
25	0.6002388228
26	0.5973148778
27	0.594290256
28	0.5913339896
29	0.5886515518
30	0.5861387203
31	0.5826152574
32	0.5803114583
33	0.5782253311
34	0.5754282715
35	0.5731831595
36	0.5704249472
37	0.5676665748
38	0.5646600925
39	0.5623008633
40	0.5599788315
41	0.5575745273
42	0.5555300661
43	0.553628929
44	0.5513616462
45	0.5495697476
46	0.5476428612
47	0.5456410609
48	0.5439000549
49	0.5423585019
50	0.540203202
51	0.5382688336
52	0.5363147184
53	0.5345432525
54	0.5330637865
55	0.5313322076
56	0.5297267204
57	0.5281328634
58	0.5261937438
59	0.5248796962
60	0.5231892606
61	0.5213215577
62	0.519899764
63	0.5179969771
64	0.5163630541
65	0.5151113779
66	0.51318932
67	0.5117417022
68	0.5102716756
69	0.5086463229
70	0.5066258127
71	0.5047090982
72	0.5029591659
73	0.5021080951
74	0.5007954099
75	0.4995226145
76	0.4983603936
77	0.4973522194
78	0.4954974074
79	0.4945075672
80	0.4930079533
81	0.4913214516
82	0.4897805261
83	0.4885761467
84	0.4871686697
85	0.4861610999
86	0.484435248
87	0.4830794747
88	0.4819265647
89	0.4808712347
90	0.4792985681
91	0.4778805578
92	0.4767837607
93	0.4756416364
94	0.4745116501
95	0.4732825949
96	0.4720688054
97	0.4709720565
98	0.4696255615
99	0.4685699801
100	0.4675534805
101	0.4668707032
102	0.4658613967
103	0.4650791194
104	0.4642485416
105	0.4633813731
106	0.4624854834
107	0.4617959449
108	0.4608415301
109	0.4602097599
110	0.4588379434
111	0.4576703996
112	0.456668606
113	0.4557367138
114	0.4548473267
115	0.4540467781
116	0.4533513979
117	0.4524816115
118	0.4516740497
119	0.4508051623
120	0.4500726699
121	0.449339964
122	0.4484840943
123	0.44748211
124	0.4467283093
125	0.4460190501
126	0.4451763914
127	0.4443914001
128	0.4436103826
129	0.4428864789
130	0.4421188676
131	0.4412421811
132	0.4403197938
133	0.4393919942
134	0.4386270339
135	0.4378540275
136	0.4369147574
137	0.436041762
138	0.4355488202
139	0.4348016613
140	0.433869053
141	0.4329081555
142	0.4321585439
143	0.4314615969
144	0.4308362813
145	0.4300580346
146	0.4294397527
147	0.4289474129
148	0.4284441356
149	0.4279736951
150	0.4272617642
151	0.4265628321
152	0.4260434513
153	0.425378429
154	0.4247297741
155	0.4240332099
156	0.4233790105
157	0.4227908753
158	0.4219091678
159	0.4213240665
160	0.4207488756
161	0.4202620907
162	0.4196321779
163	0.4189790822
164	0.4182871871
165	0.4178020054
166	0.4173436156
167	0.4166762347
168	0.4159891945
169	0.415505798
170	0.4148133193
171	0.4143037882
172	0.413416863
173	0.412976958
174	0.4124311298
175	0.4119514346
176	0.4114593644
177	0.410957476
178	0.4103371483
179	0.4100059335
180	0.4096510128
181	0.4091588406
182	0.4086070017
183	0.4079569883
184	0.4073685358
185	0.40683825
186	0.4063746899
187	0.405865211
188	0.4053547017
189	0.4049205638
190	0.4044219133
191	0.4039300183
192	0.403360458
193	0.4029110478
194	0.4023204099
195	0.4018227129
196	0.4014461244
197	0.4011699876
198	0.4006137683
199	0.4000297692
200	0.3994181416
201	0.3988477302
202	0.3983315072
203	0.3978211126
204	0.3972574434
205	0.3969713784
206	0.3965954354
207	0.3961829421
208	0.3956385993
209	0.3953711271
210	0.3946993722
211	0.3943529337
212	0.3940322529
213	0.3934849537
214	0.3930645105
215	0.3925422283
216	0.3919779111
217	0.3915959468
218	0.3912177189
219	0.3905931816
220	0.3902410681
221	0.3895459817
222	0.3889832953
223	0.3886473837
224	0.3882132989
225	0.3877168431
226	0.3874292934
227	0.3868265058
228	0.3864177197
229	0.3861142613
230	0.3856280747
231	0.3850362936
232	0.3847072294
233	0.384440652
234	0.3842895344
235	0.3839510087
236	0.3837298136
237	0.3832976163
238	0.3828547022
239	0.3825771731
240	0.3823094579
241	0.3818303135
242	0.3813395445
243	0.3808813106
244	0.3804211361
245	0.3797842119
246	0.3792898805
247	0.3790253701
248	0.3786182952
249	0.3782989005
250	0.3779138156
251	0.3775056733
252	0.3770328362
253	0.3765249723
254	0.3761295306
255	0.3758128683
256	0.3753917741
257	0.3750597509
258	0.374708345
259	0.3743037202
260	0.3739462585
261	0.3734605243
262	0.3731546926
263	0.3728439148
264	0.372416267
265	0.3720183344
266	0.3716085038
267	0.3711341712
268	0.3707554679
269	0.3703341899
270	0.3702638591
271	0.3700354753
272	0.3696831585
273	0.3694178157
274	0.3691286797
275	0.3689116784
276	0.3687105386
277	0.3681561211
278	0.3679931817
279	0.3675624094
280	0.3672648411
281	0.3668189362
282	0.3664535066
283	0.366078692
284	0.3658549733
285	0.3655275513
286	0.3650345265
287	0.3646383653
288	0.3641224037
289	0.3637408531
290	0.3633461666
291	0.3629065405
292	0.362457415
293	0.3621643575
294	0.3618013537
295	0.3614293051
296	0.3611937737
297	0.3608421456
298	0.3606429935
299	0.3604714764
300	0.3602100951
301	0.3597810126
302	0.3594687151
303	0.3591665611
304	0.3588435434
305	0.3585135808
306	0.3582774542
307	0.3581065514
308	0.3576756303
309	0.3573750226
310	0.3570576713
311	0.3565039867
312	0.3561324192
313	0.3558933012
314	0.3557161969
315	0.3554029892
316	0.3551169323
317	0.3544615548
318	0.3541203816
319	0.3538048168
320	0.3535199567
321	0.3532912772
322	0.352895795
323	0.3526048107
324	0.3522330101
325	0.3520363726
326	0.351579153
327	0.3514008019
328	0.3511639574
329	0.3508691496
330	0.3503845059
331	0.3500982397
332	0.3498845647
333	0.3494557314
334	0.3491573076
335	0.3488744834
336	0.3485612675
337	0.3481972376
338	0.3479594801
339	0.3476892318
340	0.34745998
341	0.3471859712
342	0.3466999915
343	0.3464287405
344	0.3461437814
345	0.3459163502
346	0.3456174995
347	0.3454441762
348	0.3450207042
349	0.3447418396
350	0.3443965521
351	0.3440949967
352	0.3435380728
353	0.343381185
354	0.3431549917
355	0.3428945979
356	0.3426789858
357	0.3423867379
358	0.3420594132
359	0.341811633
360	0.3415037715
361	0.3412109095
362	0.3410803463
363	0.3407845455
364	0.3406423594
365	0.3403682515
366	0.3399964592
367	0.3397950405
368	0.339500538
369	0.3389219519
370	0.3386516671
371	0.3384601608
372	0.3380434667
373	0.3375879967
374	0.3373173228
375	0.3369559344
376	0.3366240592
377	0.3361494978
378	0.3357765443
379	0.335566406
380	0.3352861757
381	0.3350923946
382	0.3345868558
383	0.3342686057
384	0.3340529435
385	0.3336543809
386	0.3333047923
387	0.3330117183
388	0.332748341
389	0.3325271711
390	0.3319277418
391	0.3317413005
392	0.3314438332
393	0.3312192603
394	0.3310089488
395	0.3306984877
396	0.3303028645
397	0.3298100628
398	0.3296007625
399	0.3292070668
400	0.3289672906
401	0.3287138496
402	0.3282234012
403	0.3278155056
404	0.3275441796
405	0.327225025
406	0.3270178334
407	0.3268570187
408	0.3263950356
409	0.3260187579
410	0.3257179535
411	0.3253511121
412	0.3251712772
413	0.3249923089
414	0.3248167623
415	0.3244114517
416	0.324040035
417	0.3238932254
418	0.3236312405
419	0.3234836872
420	0.3231063965
421	0.3229299612
422	0.3226976896
423	0.3223257774
424	0.3220839748
425	0.3219306569
426	0.321599633
427	0.3213090923
428	0.3210966148
429	0.3207100224
430	0.3203689036
431	0.3200623962
432	0.319781583
433	0.319548546
434	0.3193331039
435	0.3190503715
436	0.3186994776
437	0.3184288962
438	0.3181380605
439	0.3180280983
440	0.3179353038
441	0.3177441386
442	0.3176212238
443	0.3174414443
444	0.3171545347
445	0.3171013662
446	0.3169157918
447	0.3164258598
448	0.3161591396
449	0.3159615538
450	0.3155813791
451	0.3154540844
452	0.3152236963
453	0.3147831787
454	0.3145479097
455	0.3141762201
456	0.3139186659
457	0.313772784
458	0.313453989
459	0.313023234
460	0.3126626621
461	0.3124033701
462	0.3122686239
463	0.3119493132
464	0.3116087446
465	0.3114474287
466	0.3111225189
467	0.310977261
468	0.310710662
469	0.3104566572
470	0.3103144863
471	0.3101394985
472	0.3098595479
473	0.3095396432
474	0.3091659948
475	0.3089104316
476	0.308534054
477	0.3084651559
478	0.3083005523
479	0.3081113938
480	0.3078820652
481	0.3077056347
482	0.3075202943
483	0.3071813
484	0.3069503134
485	0.3068317681
486	0.3067164165
487	0.3065246165
488	0.3063386829
489	0.3061268553
490	0.3059923586
491	0.305774523
492	0.3056312203
493	0.3053452879
494	0.3052219772
495	0.3051109209
496	0.3049856718
497	0.3046595748
498	0.3044672382
499	0.3043320224
500	0.3041034434
501	0.3040152817
502	0.3038528981
503	0.3036199401
504	0.3034056047
505	0.3032847972
506	0.3031516236
507	0.3029935331
508	0.3028308272
509	0.3024246058
510	0.3023090613
511	0.3019986078
512	0.3018883279
513	0.3016399461
514	0.3012732774
515	0.3010589521
516	0.3008984544
517	0.300490307
518	0.3002585403
519	0.3000219767
520	0.299872851
521	0.2996401899
522	0.2993176546
523	0.2989972176
524	0.2987729427
525	0.2986429989
526	0.2983358046
527	0.2981727075
528	0.2979997831
529	0.2974702822
530	0.2971490599
531	0.2968726252
532	0.2966268155
533	0.2964625685
534	0.2962837214
535	0.2959757393
536	0.2958161557
537	0.2956144731
538	0.2954511921
539	0.2952447601
540	0.2950156171
541	0.2946301526
542	0.2944287333
543	0.2941684187
544	0.2939777455
545	0.2939000316
546	0.2937435109
547	0.2935826441
548	0.2933611584
549	0.2930460282
550	0.2928153885
551	0.2925359648
552	0.2922727947
553	0.292068501
554	0.2919096771
555	0.2916416363
556	0.2914545505
557	0.2910537308
558	0.2908261087
559	0.2906292467
560	0.290475226
561	0.2901662477
562	0.2899317495
563	0.2898037543
564	0.2895827999
565	0.2891852263
566	0.2889224061
567	0.2887592856
568	0.2883685919
569	0.2880561843
570	0.2878315162
571	0.287594452
572	0.2874905605
573	0.2873967012
574	0.2872617615
575	0.2868230457
576	0.2866437501
577	0.2865235761
578	0.2862247808
579	0.2860488723
580	0.2858599018
581	0.2855104034
582	0.2854322181
583	0.2850817524
584	0.2848900114
585	0.2847119279
586	0.2845199621
587	0.2842861122
588	0.2840163366
589	0.2837784083
590	0.2835795761
591	0.2833834521
592	0.2832781031
593	0.2832135276
594	0.2831073125
595	0.2828818825
596	0.2824904648
597	0.2823647146
598	0.2822255994
599	0.2821590551
600	0.2819312203
601	0.2817911882
602	0.2815345265
603	0.2813302302
604	0.2811511225
605	0.2809799233
606	0.2808662169
607	0.2806918612
608	0.2805788497
609	0.280399287
610	0.2802907213
611	0.2801376096
612	0.2799856559
613	0.2797036089
614	0.2794424413
615	0.279224955
616	0.278931934
617	0.2786816613
618	0.278373074
619	0.2782679277
620	0.2779833505
621	0.2777783089
622	0.2775391258
623	0.2774088661
624	0.2772748252
625	0.2771380042
626	0.2769606997
627	0.2765808041
628	0.2762875713
629	0.2760580883
630	0.2758688984
631	0.2756942995
632	0.2755139972
633	0.2754662681
634	0.2751602572
635	0.2749164081
636	0.2747056257
637	0.2745372671
638	0.2740476579
639	0.2738466674
640	0.273763894
641	0.2734654517
642	0.2733430037
643	0.2731635301
644	0.2728627241
645	0.2727638818
646	0.2726079898
647	0.2723853008
648	0.2722182892
649	0.2719588616
650	0.271702357
651	0.2715419234
652	0.2713957393
653	0.2710453578
654	0.2709821592
655	0.2708309875
656	0.2706984332
657	0.2705681804
658	0.2703477214
659	0.2702899765
660	0.2701836766
661	0.2699793434
662	0.2698207578
663	0.2696791912
664	0.2694375963
665	0.2691865686
666	0.2689196226
667	0.268639424
668	0.2682100851
669	0.2679372772
670	0.2677544999
671	0.2676041725
672	0.2674939336
673	0.2672339655
674	0.2670726835
675	0.2669510718
676	0.2666473977
677	0.2664956889
678	0.2663011626
679	0.266050929
680	0.2659313435
681	0.2657383883
682	0.2656435116
683	0.2652839395
684	0.2651818647
685	0.2649288527
686	0.2648044243
687	0.2646388498
688	0.264364122
689	0.2641624841
690	0.2639208574
691	0.263760597
692	0.2635495433
693	0.2634087282
694	0.2632497657
695	0.263124447
696	0.2628786271
697	0.2627111716
698	0.2626075783
699	0.2624480157
700	0.2621528044
701	0.2619456545
702	0.2617845862
703	0.2615523086
704	0.2614243115
705	0.2612932922
706	0.261193492
707	0.2610874568
708	0.2609300922
709	0.2605279622
710	0.2602578344
711	0.2600586461
712	0.259850166
713	0.2597862963
714	0.259696526
715	0.2595284427
716	0.2593059944
717	0.2589495734
718	0.2587855696
719	0.2586551195
720	0.2584461589
721	0.2583237176
722	0.2581883663
723	0.2580837387
724	0.2578507455
725	0.2576601537
726	0.2573909023
727	0.2571245649
728	0.2569653956
729	0.2568683472
730	0.2566336917
731	0.2564952344
732	0.2563631278
733	0.2561387964
734	0.2558361443
735	0.2556447762
736	0.2554942106
737	0.2552054972
738	0.2549277776
739	0.254631029
740	0.254391978
741	0.2539389492
742	0.2538443234
743	0.2535802945
744	0.2533809225
745	0.2530701915
746	0.2528069521
747	0.252739187
748	0.2524394109
749	0.2523330755
750	0.2521636549
751	0.2520069162
752	0.2518114521
753	0.2516752825
754	0.2515471153
755	0.2514221392
756	0.2511860799
757	0.2509792372
758	0.2508968457
759	0.2507013391
760	0.2504957729
761	0.2503695331
762	0.250143342
763	0.2498684198
764	0.2496193215
765	0.2494461521
766	0.2492650596
767	0.2490884923
768	0.2490019087
769	0.2488360016
770	0.2487516438
771	0.2483687033
772	0.2481643287
773	0.247910733
774	0.2476834122
775	0.2474796353
776	0.2473433893
777	0.2471608017
778	0.2470817585
779	0.2469501569
780	0.2464239859
781	0.2463305845
782	0.2460875521
783	0.2458126913
784	0.2457057838
785	0.2456002416
786	0.2454624028
787	0.2452618553
788	0.2449974334
789	0.2447247489
790	0.2446454319
791	0.2444736123
792	0.2442270736
793	0.2439558722
794	0.2437756985
795	0.2436276066
796	0.2431552346
797	0.2429148717
798	0.2427369218
799	0.2426704628
800	0.2424416858
801	0.242273335
802	0.2420517078
803	0.2418907194
804	0.2415882959
805	0.2413433449
806	0.2410334265
807	0.2406694532
808	0.2403700059
809	0.2402605951
810	0.2400782549
811	0.2399002078
812	0.2397252898
813	0.2394030203
814	0.2393220162
815	0.2392014423
816	0.2389336566
817	0.2386778444
818	0.2386053127
819	0.2384677154
820	0.2381434057
821	0.2379347104
822	0.2377946229
823	0.2376477352
824	0.2375475796
825	0.2373426753
826	0.2370607261
827	0.2368010083
828	0.2366593005
829	0.2364610694
830	0.2362286732
831	0.2361009988
832	0.2359663425
833	0.2357103927
834	0.2355827618
835	0.2354358718
836	0.2353032866
837	0.2350191244
838	0.2347797451
839	0.2346316282
840	0.2344680618
841	0.2342942782
842	0.2340438954
843	0.2338224246
844	0.2336330462
845	0.2334224479
846	0.2332183682
847	0.2328800337
848	0.2326818714
849	0.232454494
850	0.2323036705
851	0.2321827899
852	0.2320034965
853	0.2317214254
854	0.231563019
855	0.2314205023
856	0.2312679878
857	0.2312077736
858	0.2309854537
859	0.2307695762
860	0.2304951005
861	0.2303534837
862	0.2301139949
863	0.2300646503
864	0.2297647791
865	0.2296902181
866	0.2294617845
867	0.2292550498
868	0.2290115663
869	0.2287875909
870	0.2286036904
871	0.2284005138
872	0.2282515784
873	0.2280223533
874	0.2278623101
875	0.2278076042
876	0.2275625259
877	0.2273416793
878	0.2271986811
879	0.227047255
880	0.2269040508
881	0.2266654327
882	0.2263882404
883	0.2261835258
884	0.2259833763
885	0.2259029769
886	0.2255926614
887	0.2253795068
888	0.2251574337
889	0.2250172397
890	0.2247372685
891	0.2244634995
892	0.2243051333
893	0.2241858469
894	0.2240385992
895	0.2238760129
896	0.2236438315
897	0.2235445845
898	0.2233724138
899	0.2230819004
900	0.2229558168
901	0.2227852496
902	0.2226703889
903	0.2224526438
904	0.22228977
905	0.2220348202
906	0.2218782722
907	0.2217624571
908	0.2215720048
909	0.2214017009
910	0.2212154602
911	0.2210850546
912	0.2207234619
913	0.2205178227
914	0.2203970101
915	0.2201879184
916	0.220046181
917	0.2199085682
918	0.2198089854
919	0.2196861369
920	0.2195073736
921	0.2192076651
922	0.2190166517
923	0.2188602855
924	0.2186402192
925	0.2185090933
926	0.2182951551
927	0.2181511572
928	0.2180312873
929	0.2178118937
930	0.2176083894
931	0.2175098289
932	0.2174104491
933	0.2171873334
934	0.2170273399
935	0.2168256908
936	0.2166243497
937	0.2165884116
938	0.2164081751
939	0.2162654273
940	0.2161693397
941	0.2160396653
942	0.2158579019
943	0.2157561957
944	0.2155273529
945	0.2152971925
946	0.2150598514
947	0.2149095854
948	0.2145826655
949	0.2145438052
950	0.2143840295
951	0.214258341
952	0.2140017623
953	0.2136791225
954	0.2134355261
955	0.2132087572
956	0.2131302417
957	0.2129314939
958	0.212760513
959	0.2126239767
960	0.2125743884
961	0.2124232652
962	0.2123077683
963	0.2121775248
964	0.2119408293
965	0.2118150411
966	0.2116558399
967	0.2114679338
968	0.2112661066
969	0.211105113
970	0.2108372677
971	0.2107016891
972	0.2105844248
973	0.210477688
974	0.2101827689
975	0.2100430198
976	0.209775496
977	0.2096913261
978	0.2096433099
979	0.2094955024
980	0.2092708095
981	0.2090020223
982	0.2088233761
983	0.2086793889
984	0.2084259355
985	0.2082723497
986	0.2081847964
987	0.2080715506
988	0.2078429452
989	0.2077148411
990	0.2074234707
991	0.2072980696
992	0.2070190658
993	0.2068933134
994	0.2067714319
995	0.2066102755
996	0.2063986445
997	0.2063261355
998	0.2062858526
999	0.2059719561
